price,Brand,Processor,Generation,RAM,ROM,Graphic Card
62999,Acer,Ryzen 5,,16 GB,512 GB SSD,0
31990,ASUS,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
30990,Lenovo,Ryzen 3,,8 GB,512 GB SSD,0
24990,HP,Ryzen 3,,8 GB,512 GB SSD,0
55990,HP,Intel Core i5,11th Gen,8 GB,1 TB HDD,0
31890,Lenovo,Ryzen 3,,8 GB,512 GB SSD,0
53990,ASUS,Ryzen 5,,16 GB,512 GB SSD,0
38899,HP,Ryzen 5,,8 GB,512 GB SSD,0
31490,ASUS,Ryzen 3,,8 GB,512 GB SSD,0
40990,ASUS,Ryzen 5,,16 GB,512 GB SSD,0
31490,HP,Ryzen 5,,8 GB,256 GB SSD,0
32480,HP,Ryzen 5,,8 GB,512 GB SSD,0
33990,ASUS,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
60790,ASUS,Intel Core i7,12th Gen,16 GB,512 GB SSD,0
89990,ASUS,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
36990,HP,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
71990,DELL,Intel Core i5,13th Gen,8 GB,512 GB SSD,0
126890,Apple,Apple Silicon,,8 GB,512 GB SSD,0
33940,HP,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
38990,Infinix,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
36990,ASUS,Intel Core i3,13th Gen,8 GB,512 GB SSD,0
78990,MSI,Intel Core i9,13th Gen,16 GB,1 TB SSD,0
70990,Lenovo,Ryzen 5,,16 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
42990,MSI,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
30490,HP,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
71990,Lenovo,Intel Core i5,11th Gen,16 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
35800,HP,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
31990,Lenovo,Ryzen 3,,8 GB,512 GB SSD,0
30990,HP,Intel Celeron Dual Core,,8 GB,512 GB SSD,0
49990,WINGS,Intel Core i7,11th Gen,16 GB,512 GB SSD,0
52990,MSI,Intel Core i5,11th Gen,16 GB,1 TB HDD,4 GB Graphics/NVIDIA GeForce RTX 
109990,Acer,AMD Ryzen 7,,16 GB,1 TB SSD,8 GB Graphics/NVIDIA GeForce RTX 
65500,DELL,Intel Core i5,11th Gen,8 GB,1 TB HDD,0
99990,MSI,Intel Core Ultra,,16 GB,1 TB SSD,0
86217,MSI,Intel Core i5,12th Gen,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX 
38990,DELL,Intel Core i3,13th Gen,8 GB,512 GB SSD,0
59500,Lenovo,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
57990,Lenovo,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
63800,Lenovo,Intel Core i7,11th Gen,16 GB,512 GB SSD,0
135000,DELL,Intel Core i7,,16 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
33400,DELL,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
29880,Lenovo,Intel Celeron Dual Core,,8 GB,256 GB SSD,0
134990,MSI,Intel Core i7,14th Gen,16 GB,1 TB SSD,8 GB Graphics/NVIDIA GeForce RTX 
42480,HP,Ryzen 5,,16 GB,512 GB SSD,0
49999,Lenovo,Intel Core i5,11th Gen,8 GB,256 GB SSD,0
38990,DELL,Intel Core i3,11th Gen,8 GB,1 TB HDD,0
43490,Infinix,Intel Core i7,11th Gen,16 GB,512 GB SSD,0
302900,ASUS,Intel Core i9,14th Gen,32 GB,2 TB SSD,12 GB Graphics/NVIDIA GeForce RTX 
104990,ASUS,Intel Core i7,12th Gen,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX 
40990,ASUS,Ryzen 5,,16 GB,512 GB SSD,0
42990,Lenovo,Ryzen 5,,8 GB,512 GB SSD,0
45480,ASUS,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
30990,MSI,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
56990,MSI,Intel Core i5,12th Gen,16 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
28990,Acer,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
99980,ASUS,Ryzen 9,,16 GB,1 TB SSD,8 GB Graphics/AMD Radeon RX 
49990,ASUS,Ryzen 5,,8 GB,1 TB HDD,0
76990,HP,Intel Core i5,13th Gen,16 GB,1 TB SSD,4 GB Graphics/NVIDIA GeForce RTX 
74990,Infinix,Intel Core i5,13th Gen,16 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
36990,ASUS,Intel Core i3,11th Gen,4 GB,256 GB SSD,0
69351,Acer,Intel Core i5,8th Gen,8 GB,512 GB SSD,0
81899,Lenovo,Intel Core i5,13th Gen,16 GB,1 TB SSD,0
33390,Acer,Ryzen 5,,8 GB,512 GB SSD,0
36490,Acer,Intel Core i5,11th Gen,16 GB,512 GB SSD,0
101990,MSI,Intel Core Ultra,,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX 
26990,Ultimus,Intel Core i5,10th Gen,8 GB,512 GB SSD,0
89999,HP,Intel Core i7,13th Gen,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX 
52990,DELL,Intel Core i5,13th Gen,8 GB,512 GB SSD,0
50990,HP,Ryzen 5,,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce GTX 
90190,Lenovo,AMD Ryzen Z1,,16 GB,512 GB SSD,0
60999,Acer,Intel Core i7,11th Gen,16 GB,1 TB SSD,0
36990,ASUS,Ryzen 5,,8 GB,512 GB SSD,0
31490,HP,Ryzen 3,,8 GB,512 GB SSD,0
64500,HP,Intel Core i5,11th Gen,16 GB,512 GB SSD,0
53990,Lenovo,AMD Ryzen 7,5th Gen,16 GB,512 GB SSD,0
35000,Lenovo,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
56800,Lenovo,Intel Core i7,11th Gen,16 GB,512 GB SSD,0
126999,ASUS,AMD Ryzen 7,,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX RTX 
35999,Acer,Ryzen 5,,16 GB,512 GB SSD,0
42490,ASUS,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
34890,Acer,Ryzen 5,,16 GB,512 GB SSD,0
61990,ASUS,AMD Ryzen 7,,16 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
59990,ASUS,AMD Ryzen 7,,16 GB,512 GB SSD,0
33990,Acer,Intel Core i3,13th Gen,16 GB,512 GB SSD,0
60000,Lenovo,Intel Core i7,11th Gen,16 GB,512 GB SSD,0
74990,Lenovo,Ryzen 5,,8 GB,512 GB SSD,0
36990,Acer,Intel Core i3,12th Gen,8 GB,256 GB SSD,0
34200,Acer,Intel Core i3,,8 GB,256 GB SSD,0
96999,DELL,Intel Core i7,,16 GB,1 TB SSD,0
55990,ASUS,Intel Core i5,12th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
31590,ASUS,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
31990,ASUS,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
31990,ASUS,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
56100,Lenovo,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
42890,Lenovo,Intel Core i3,11th Gen,8 GB,1 TB HDD,0
41990,HP,Ryzen 5,,16 GB,512 GB SSD,0
67990,Lenovo,AMD Ryzen 7,,16 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
128690,MSI,Intel Core i9,13th Gen,16 GB,1 TB SSD,8 GB Graphics/NVIDIA GeForce RTX 
41990,Lenovo,Intel Core i3,13th Gen,8 GB,512 GB SSD,0
33500,Lenovo,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
198940,HP,Intel Core i7,13th Gen,16 GB,1 TB SSD,8 GB Graphics/NVIDIA GeForce RTX 
145490,Apple,Apple Silicon,,16 GB,512 GB SSD,0
40370,DELL,Ryzen 5,,8 GB,512 GB SSD,0
90400,ASUS,AMD Ryzen 7,,16 GB,1 TB SSD,4 GB Graphics/NVIDIA GeForce RTX RTX 
36500,Lenovo,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
58500,HP,Intel Core i5,11th Gen,8 GB,1 TB HDD,0
44999,HP,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
47999,HP,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
79999,ASUS,AMD Ryzen 7,,16 GB,1 TB SSD,4 GB Graphics/NVIDIA GeForce RTX RTX 
43990,ASUS,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
67990,Lenovo,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
49490,ASUS,Intel Core i5,11th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
33990,HP,Ryzen 5,,8 GB,512 GB SSD,0
25890,Ultimus,Intel Core i5,10th Gen,8 GB,512 GB SSD,0
53990,HP,Ryzen 5,,8 GB,512 GB SSD,0
39990,DELL,Intel Core i3,13th Gen,8 GB,512 GB SSD,0
92990,HP,Intel Core i7,12th Gen,16 GB,1 TB SSD,0
64500,Acer,Ryzen 5,,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
119540,HP,Intel Core i7,13th Gen,16 GB,1 TB SSD,8 GB Graphics/NVIDIA GeForce RTX 
71990,HP,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
35990,HP,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
100990,Lenovo,AMD Ryzen 7,,16 GB,512 GB SSD,8 GB Graphics/NVIDIA GeForce RTX 
43960,DELL,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
135999,Acer,Intel Core i7,11th Gen,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX 
56990,ASUS,Intel Core i5,11th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX RTX 
36990,MSI,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
50990,ASUS,Ryzen 5,,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce GTX 
50990,Lenovo,Ryzen 5,,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX NVIDIA GeForce
48190,HP,Ryzen 5,,8 GB,512 GB SSD,0
34299,DELL,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
38400,Lenovo,Intel Core i5,11th Gen,8 GB,256 GB SSD,0
69999,HP,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
40990,HP,Ryzen 5,,16 GB,512 GB SSD,0
99912,ASUS,AMD Ryzen 7,,16 GB,512 GB SSD,8 GB Graphics/NVIDIA GeForce RTX 
54999,Acer,Intel Core i5,11th Gen,8 GB,1 TB SSD,0
64999,DELL,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
69500,Lenovo,Intel Core i5,11th Gen,8 GB,512 GB SSD,0
45990,Lenovo,Ryzen 5,,8 GB,512 GB SSD,0
49990,Acer,Intel Core i7,12th Gen,16 GB,512 GB SSD,0
33990,ASUS,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
47999,Lenovo,Ryzen 5,,8 GB,512 GB SSD,0
45499,Lenovo,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
43990,Acer,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
51990,Infinix,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
33990,Acer,Ryzen 5,,8 GB,512 GB SSD,0
